post_id,name,brand,slug,detail_url,image_filename,button_latency_cable_ms,button_latency_dongle_ms,button_latency_bluetooth_ms,stick_latency_cable_ms,stick_latency_dongle_ms,stick_latency_bluetooth_ms,latscore_wired,latscore_wireless,min_latency_ms,avg_latency_ms,max_latency_ms,jitter_ms,platforms,interfaces,price,date_published,tags,image_downloaded
165,Flydigi Apex 4 Black Myth Wukong,Flydigi,flydigi-apex-4-black-myth-wukong,https://gamepadla.com/flydigi-apex-4-black-myth-wukong.html,165_flydigi-apex-4-black-myth-wukong.webp,7.25,10.53,22.18,9.25,12.95,24.41,A,B,0.3,11.913181818181817,38.84,5.3,Android;iOS;Linux;Switch;Windows,Cable;Dongle;Bluetooth,"$ 145.99 , find on: Aliexpress",2025-12-19T11:06:15+02:00,android;display;hall;ios;linux;macos;switch;verified;windows,yes
216,GameSir G7 Pro 8K Aimlabs Edition,GameSir,gamesir-g7-pro-8k,https://gamepadla.com/gamesir-g7-pro-8k.html,216_gamesir-g7-pro-8k.webp,1.39,3.47,3.58,0.69,3.56,3.45,A+,A+,0.01,2.636764705882353,28.17,3.89,Android;iOS;Linux;Switch;Windows,Cable;Dongle;Bluetooth,"$ 89.99 , find on: Amazon",2026-02-12T12:09:12+02:00,android;ios;linux;macos;switch;tmr;verified;windows,yes
77,Astro C40 TR Wireless,Astro,astro-c40-tr,https://gamepadla.com/astro-c40-tr.html,77_astro-c40-tr.webp,3.28,14.91,,3.07,16.03,,A+,C,1.11,8.215,20.06,2.23,Linux;Playstation 4;Windows,Cable;Dongle,$ 129.99 Discontinued,2026-05-15T12:37:37+03:00,linux;macos;potentiometers;ps4;verified;windows,yes
236,CS1 Chroma,SMOS,cs1-chroma,https://gamepadla.com/cs1-chroma.html,236_cs1-chroma.webp,8.24,,14.14,6.94,,12.53,B,C,2.9,10.4625,27.36,4.73,,Cable;Bluetooth,$ 23.45,,,yes
237,Mojhon Storm,Mojhon,mojhon-storm,https://gamepadla.com/mojhon-storm.html,237_mojhon-storm.webp,5.18,7.96,15.61,2.19,6.44,17.72,A+,A,0.42,5.610555555555555,45.7,8.39,Switch;Windows,Cable;Dongle;Bluetooth,$ 63.64,2026-07-05T10:33:21+03:00,switch;tmr;verified;windows,yes
235,ZD Y-Wing Pro,ZD,zd-y-shadow-wing,https://gamepadla.com/zd-y-shadow-wing.html,235_zd-y-shadow-wing.webp,8.28,12.81,13.51,17.16,38.48,34.33,B,D,0.47,18.624166666666667,74.46,5.83,iOS;Linux;Switch;Windows,Cable;Dongle;Bluetooth,$ 29.90,2026-05-08T09:20:03+03:00,hall;ios;linux;macos;switch;verified;windows,yes
82,GameSir Tarantula Pro,Gamesir,gamesir-t3-pro,https://gamepadla.com/gamesir-t3-pro.html,82_gamesir-t3-pro.webp,7.83,31.73,19.18,12.72,29.9,25.41,B,D,0.4,17.325555555555557,50.3,5.23,Android;iOS;Linux;Switch;Windows,Cable;Dongle;Bluetooth,"Price range: $ 50.39 – $ 79.99 , find on: Amazon , Aliexpress",2026-01-26T04:22:30+02:00,android;ios;linux;macos;nfc;switch;symmetric;tmr;verified;windows,yes
164,GameSir Tegenaria Lite,GameSir,gamesir-tegenaria-lite,https://gamepadla.com/gamesir-tegenaria-lite.html,164_gamesir-tegenaria-lite.webp,2.82,,,1.92,,,A+,,0.63,2.7891666666666666,8.85,1.14,Android;iOS;Linux;Switch;Windows,Cable,"$ 19.99 , find on: Amazon , Aliexpress",2025-12-11T03:14:04+02:00,android;hall;ios;linux;macos;switch;symmetric;verified;windows,yes
231,Beitong Pangu,Beitong,beitong-pangu,https://gamepadla.com/beitong-pangu.html,231_beitong-pangu.webp,4.43,8.81,10.27,5.48,11.55,22.41,A,B,3.07,10.491666666666667,31.36,4.19,Android;iOS;Switch;Windows,Cable;Dongle;Bluetooth,"$ 119.79 , find on: Aliexpress",2026-07-23T04:06:34+03:00,android;ios;optional;switch;verified;windows,yes
161,Gamesir G7 Pro,Gamesir,gamesir-g7-pro,https://gamepadla.com/gamesir-g7-pro.html,161_gamesir-g7-pro.webp,2.43,5.69,5.37,2.7,14.96,5.82,A+,B,0.88,4.607777777777778,26.01,3.34,Android;Linux;Windows;Xbox One;Xbox S/X,Cable;Dongle;Bluetooth,"Price range: $ 79.99 – $ 99.99 , find on: Amazon , Aliexpress",2025-09-14T11:28:44+03:00,android;linux;tmr;verified;windows;xbox_one;xbox_series,yes
86,GameSir Cyclone 2,GameSir,gamesir-cyclone-2,https://gamepadla.com/gamesir-cyclone-2.html,86_gamesir-cyclone-2.webp,2.4,7.4,6.01,6.51,16.97,10.31,A,B,0.44,4.548846153846154,29.42,3.85,Android;iOS;Linux;Switch;Windows,Cable;Dongle;Bluetooth,"Price range: $ 39.99 – $ 55.99 , find on: Amazon , Aliexpress",2026-01-01T13:17:51+02:00,android;ios;linux;macos;switch;tmr;verified;windows,yes
153,HORIPAD for Steam Wireless,Hori,horipad-for-steam-wireless,https://gamepadla.com/horipad-for-steam-wireless.html,153_horipad-for-steam-wireless.webp,3.74,,14.02,3.36,,10.66,A+,B,1.32,6.064444444444444,32.44,4.28,Linux;Windows,Cable;Bluetooth,"$ 59.99 , find on: Amazon",2026-04-14T13:42:05+03:00,linux;potentiometers;verified;windows,yes
226,Beitong Kunpeng 40D,Beitong,beitong-kunpeng-40d,https://gamepadla.com/beitong-kunpeng-40d.html,226_beitong-kunpeng-40d.webp,2.45,5.68,13.76,2.68,9.53,11.87,A+,A,0.69,5.955882352941177,31.72,5.24,Android;iOS;Linux;Switch;Windows,Cable;Dongle;Bluetooth,$ 87.95,2026-04-14T19:58:48+03:00,android;ios;linux;macos;switch;tmr;verified;windows,yes
72,PowerA Battle Dragon,PowerA,powera-battle-dragon,https://gamepadla.com/powera-battle-dragon.html,72_powera-battle-dragon.webp,2.34,4.17,14.35,4.58,6.13,15.98,A+,A,0.5,6.868888888888889,25.49,4.56,Android;Linux;Windows,Cable;Dongle;Bluetooth,"$ 40.99 , find on: Amazon",2026-04-14T19:26:46+03:00,android;hall;linux;verified;windows,yes
45,8BitDo Pro 2 [HE],8bitDo,8bitdo-pro-2-hall-effect,https://gamepadla.com/8bitdo-pro-2-hall-effect.html,45_8bitdo-pro-2-hall-effect.webp,14.9,18.66,21.45,26.38,27.26,25.12,D,D,1.05,17.323809523809523,55.97,8.27,Android;iOS;Linux;Switch;Windows,Cable;Dongle;Bluetooth,"Price range: $ 39.47 – $ 49.99 , find on: Amazon , Aliexpress",2025-12-16T07:24:47+02:00,android;hall;ios;linux;macos;switch;symmetric;verified;windows,yes
209,Flydigi vader 5 pro,Flydigi,flydigi-vader-5-pro,https://gamepadla.com/flydigi-vader-5-pro.html,209_flydigi-vader-5-pro.webp,3.04,3.98,19.75,2.38,3.22,21.13,A+,A+,0.75,8.195652173913043,38.54,5.87,Android;iOS;Linux;Switch;Windows,Cable;Dongle;Bluetooth,"$ 79.99 , find on: Amazon , MiniXPC , Aliexpress",2025-11-13T14:03:12+02:00,android;hall;ios;linux;switch;verified;windows,yes
227,Leadjoy Xeno Plus,Leadjoy,leadjoy-xeno-plus,https://gamepadla.com/leadjoy-xeno-plus.html,227_leadjoy-xeno-plus.webp,2.49,5.44,7.4,2.57,6.51,9.84,A+,A,0.93,5.278499999999999,21.29,4.45,Android;iOS;Switch;Windows,Cable;Dongle;Bluetooth,$ 49.99,2026-03-28T12:24:10+02:00,android;ios;switch;tmr;verified;windows,yes
176,Gulikit ES,Gulikit,gulikit-es,https://gamepadla.com/gulikit-es.html,176_gulikit-es.webp,1.98,3.76,4.0,4.01,4.73,4.44,A+,A,0.72,3.436666666666667,23.86,3.15,Android;Linux;Switch;Windows,Cable;Dongle;Bluetooth,"$ 24.99 , find on: Amazon",2025-12-14T17:35:49+02:00,android;hall;linux;macos;switch;verified;windows,yes
89,8BitDo Ultimate 2C Wireless Controller,8BitDo,8bitdo-ultimate-2c-wireless,https://gamepadla.com/8bitdo-ultimate-2c-wireless.html,89_8bitdo-ultimate-2c-wireless.webp,5.12,5.12,15.16,1.92,4.1,8.61,A+,A,0.4,5.453333333333333,20.34,3.08,Android;iOS;Linux;Windows,Cable;Dongle;Bluetooth,"Price range: $ 22.50 – $ 34.99 , find on: Amazon , Aliexpress",2026-02-02T16:41:39+02:00,android;hall;ios;linux;macos;verified;windows,yes
230,Brook Starray,Brook,brook-starray,https://gamepadla.com/brook-starray.html,230_brook-starray.webp,2.29,,35.06,29.54,,62.98,C,F,1.68,29.291666666666668,69.81,2.54,Android;iOS;Playstation 5;Windows,Cable;Bluetooth,$ 64.99,2026-04-15T04:01:39+03:00,android;hall;ios;ps5;windows,yes
229,Anbernic RG G01,Anbernic,anbernic-rg-g01,https://gamepadla.com/anbernic-rg-g01.html,229_anbernic-rg-g01.webp,7.68,19.4,20.67,18.21,62.91,91.87,B,F,5.07,49.42,132.44,10.83,Android;iOS;Switch;Windows,Cable;Dongle;Bluetooth,"$ 69.99 , find on: Amazon , Aliexpress",2026-03-24T16:05:42+02:00,android;capacitive;display;ios;switch;windows,yes
215,Mobapad Chitu 2,Mobapad,mobapad-chitu-2,https://gamepadla.com/mobapad-chitu-2.html,215_mobapad-chitu-2.webp,6.14,,9.02,16.7,,14.49,B,B,3.03,16.46875,50.75,4.6,Android;iOS;Linux;Switch;Windows,Cable;Bluetooth,$ 45.00,2026-01-07T22:31:49+02:00,android;ios;linux;macos;nfc;switch;tmr;verified;windows,yes
225,GameSir G7 Pro Zenless Zone Zero,GameSir,gamesir-g7-pro-zenless-zone-zero,https://gamepadla.com/gamesir-g7-pro-zenless-zone-zero.html,225_gamesir-g7-pro-zenless-zone-zero.webp,2.29,6.07,,3.62,10.35,,A+,A,1.61,7.9775,27.96,2.62,Android;Windows;Xbox One;Xbox S/X,Cable;Dongle,$ 178.00,2026-05-06T22:38:56+03:00,android;tmr;windows;xbox_one;xbox_series,yes
170,SCUF Valor Pro Wired,SCUF,scuf-valor-pro,https://gamepadla.com/scuf-valor-pro.html,170_scuf-valor-pro.webp,2.95,,,6.17,,,A,,2.07,11.4375,27.56,1.14,Windows;Xbox One;Xbox S/X,Cable,$ 89.99,2026-03-25T00:42:02+02:00,hall;windows;xbox_one;xbox_series,yes
218,Flydigi Vader 5s,Flydigi,flydigi-vader-5s,https://gamepadla.com/flydigi-vader-5s.html,218_flydigi-vader-5s.webp,3.37,,,4.24,,,A,,1.67,4.122857142857143,9.97,1.65,Windows;Xbox One;Xbox S/X,Cable,"$ 59.99 , find on: Amazon , Aliexpress",2026-02-12T12:24:27+02:00,hall;verified;windows;xbox_one;xbox_series,yes
98,BigBig Won Blitz 2,Mojhon,bigbigwon-blitz-2,https://gamepadla.com/bigbigwon-blitz-2.html,98_bigbigwon-blitz-2.webp,5.15,6.57,,2.0,3.36,,A+,A,0.43,4.679444444444445,16.32,2.53,Android;iOS;Linux;Switch;Windows,Cable;Dongle,Price range: $ 66.94 – $ 74.99,2026-03-26T04:22:21+02:00,android;ios;linux;macos;potentiometers;switch;verified;windows,yes
